client,Campaign,Sender,Audience,Aud. Size,Contacted,Replied,Reply %,LI Replied,LI Reply %,Email Sent,Email Opened,Email Open %,Email Replied,Email Reply %,Conn. Req Sent,New Connections,Conn. Accept %,Won (total),Interested,Calls Booked,Lost,Launched,None,None,None
flax,Flax002 - LTC100 Conference V2,Trent Hazy,LTC100 2025 List,181,180,47,0.26,28,0.16,131,88,0.67,19,0.15,178,59,0.4,11,7,0,8,2026-02-27,,,
flax,Flax005 - Pre-LTC100 VIP Dinner Invite,Trent Hazy,LTC100 Final Campaign Manager - Dinner Invite Tier 1,74,71,18,0.24,4,0.33,69,54,0.78,14,0.2,0,0,0.2,1,0,0,0,2026-04-01,,,
flax,Warm signal through cold call,Justin Jensen,Warm Signals from cold call,14,13,3,0.21,3,0.43,9,5,0.56,0,0,13,2,0.5,0,0,0,0,2026-05-11,,,
flax,Flax005 - LTC100 Pre-Conference from Justin Only,Justin Jensen,LTC100 Justin's Long Tail - Pre-Conference,276,268,43,0.16,25,0.35,252,209,0.83,18,0.07,197,64,0.39,0,0,0,0,2026-04-08,,,
flax,Flax003 - ACHCA Chapter Heads,Trent Hazy,ACHCA Chapter Heads,16,16,2,0.13,1,0.06,4,3,0.75,1,0.25,15,5,0.31,0,0,0,0,2026-02-27,,,
flax,Flax006 - LTC100 FINAL Pre-Conference from Trent,Trent Hazy,LTC100 FINAL Pre-Conf Trent Only,77,74,6,0.08,0,0,74,31,0.42,6,0.08,49,14,0.3,0,0,0,0,2026-04-21,,,
flax,Flax010 - Admissions Operators Execs -  MM Target Accounts - Justin,Justin Jensen,Flax_MM_LGM_Justin,218,41,13,0.06,13,0.33,5,5,1,0,0,202,39,0.27,0,0,0,0,2026-06-08,,,
flax,FLAX - OHCA Event Ohio 5/19/26,Justin Jensen,OHCA - David's & Justin,81,80,5,0.06,5,0.06,66,56,0.85,0,0,79,15,0.26,0,0,0,0,2026-05-19,,,
flax,Flax010 - Trent - MM Target Accounts,Trent Hazy,Flax_MM_LGM_Trent,217,157,10,0.05,9,0.32,144,43,0.3,1,0.01,196,40,0.2,0,0,0,0,2026-06-08,,,
flax,Flax004 - Trent - Execs hiring Admissions,Trent Hazy,FLAX004 Execs w/Admissions Roles open,387,339,21,0.05,16,0.26,334,203,0.61,5,0.01,379,97,0.25,1,0,0,7,2026-03-16,,,
flax,Flax005 - Justin - Execs hiring Admissions,Justin Jensen,FLAX004 Execs w/Admissions Roles open,387,332,17,0.04,11,0.14,330,192,0.58,6,0.02,379,105,0.35,0,0,0,6,2026-03-18,,,
flax,OHCA pre and post event,Trent Hazy,OHCA priorities,34,3,1,0.03,1,0.33,0,0,0,0,0,34,6,0.18,0,0,0,0,2026-05-18,,,
flax,Flax008 - Admissions Operators - High Intent (Trent) 17,Trent Hazy,Flax009 LGM Net New V2,549,406,17,0.03,7,0.13,421,147,0.35,10,0.02,544,82,0.15,0,0,0,1,2026-05-11,,,
flax,Flax007 - Admissions Operators - High Intent,Justin Jensen,Flax007 List - Net New,572,222,10,0.02,10,0.21,192,177,0.92,0,0,482,85,0.16,0,0,0,0,2026-05-07,,,
flax,Flax001 - LTC100 Conference,Trent Hazy,,29,28,0,0,0,0,0,0,0,0,0,28,0,0.03,0,0,0,0,2026-02-26,,,
